organism	etype	startAcc	endAcc	reason
hs	RNA	AJ605558	AJ605558	nedo
hs	RNA	AJ617581	AJ617581	nedo
hs	RNA	AK000001	AK000546	nedo
hs	RNA	AK000548	AK000895	nedo
hs	RNA	AK000897	AK000940	nedo
hs	RNA	AK000941	AK000941	nedo
hs	RNA	AK000942	AK001090	nedo
hs	RNA	AK001091	AK001091	nedo
hs	RNA	AK001092	AK001248	nedo
hs	RNA	AK001249	AK001249	nedo
hs	RNA	AK001250	AK001251	nedo
hs	RNA	AK001252	AK001252	nedo
hs	RNA	AK001253	AK001278	nedo
hs	RNA	AK001279	AK001279	nedo
hs	RNA	AK001280	AK001308	nedo
hs	RNA	AK001309	AK001309	nedo
hs	RNA	AK001310	AK001499	nedo
hs	RNA	AK001500	AK001500	nedo
hs	RNA	AK001501	AK001520	nedo
hs	RNA	AK001521	AK001521	nedo
hs	RNA	AK001522	AK001625	nedo
hs	RNA	AK001626	AK001627	nedo
hs	RNA	AK001628	AK001715	nedo
hs	RNA	AK001716	AK001716	nedo
hs	RNA	AK001717	AK001784	nedo
hs	RNA	AK001785	AK001785	nedo
hs	RNA	AK001786	AK001986	nedo
hs	RNA	AK001987	AK001987	nedo
hs	RNA	AK001988	AK002055	nedo
hs	RNA	AK002056	AK002056	nedo
hs	RNA	AK002057	AK002152	nedo
hs	RNA	AK002153	AK002153	nedo
hs	RNA	AK002154	AK002202	nedo
hs	RNA	AK002203	AK002203	nedo
hs	RNA	AK002204	AK002212	nedo
hs	RNA	AK021413	AK023299	nedo
hs	RNA	AK023300	AK023300	nedo
hs	RNA	AK023301	AK023638	nedo
hs	RNA	AK023639	AK023639	nedo
hs	RNA	AK023640	AK024209	nedo
hs	RNA	AK024210	AK024210	nedo
hs	RNA	AK024211	AK024438	nedo
hs	RNA	AK024439	AK024439	nedo
hs	RNA	AK024440	AK025097	nedo
hs	RNA	AK025098	AK025098	nedo
hs	RNA	AK025099	AK026529	nedo
hs	RNA	AK026530	AK026530	nedo
hs	RNA	AK026531	AK026598	nedo
hs	RNA	AK026600	AK026902	nedo
hs	RNA	AK026903	AK026903	nedo
hs	RNA	AK026904	AK027260	nedo
hs	RNA	AK027263	AK027271	nedo
hs	RNA	AK027272	AK027272	nedo
hs	RNA	AK027273	AK027300	nedo
hs	RNA	AK027301	AK027301	nedo
hs	RNA	AK027302	AK027320	nedo
hs	RNA	AK027321	AK027321	nedo
hs	RNA	AK027322	AK027652	nedo
hs	RNA	AK027653	AK027653	nedo
hs	RNA	AK027654	AK027700	nedo
hs	RNA	AK027701	AK027701	nedo
hs	RNA	AK027702	AK027847	nedo
hs	RNA	AK027848	AK027848	nedo
hs	RNA	AK027849	AK027902	nedo
hs	RNA	AK054563	AK055315	nedo
hs	RNA	AK055316	AK055316	nedo
hs	RNA	AK055317	AK055317	nedo
hs	RNA	AK055318	AK055370	nedo
hs	RNA	AK055371	AK055371	nedo
hs	RNA	AK055372	AK056508	nedo
hs	RNA	AK056509	AK056509	nedo
hs	RNA	AK056510	AK056510	nedo
hs	RNA	AK056511	AK056511	nedo
hs	RNA	AK056512	AK056585	nedo
hs	RNA	AK056586	AK056586	nedo
hs	RNA	AK056587	AK057355	nedo
hs	RNA	AK057356	AK057356	nedo
hs	RNA	AK057357	AK057359	nedo
hs	RNA	AK057360	AK057360	nedo
hs	RNA	AK057361	AK057442	nedo
hs	RNA	AK057443	AK057443	nedo
hs	RNA	AK057444	AK057614	nedo
hs	RNA	AK057616	AK057629	nedo
hs	RNA	AK057631	AK057639	nedo
hs	RNA	AK057641	AK057643	nedo
hs	RNA	AK057645	AK057649	nedo
hs	RNA	AK057651	AK057653	nedo
hs	RNA	AK057655	AK057670	nedo
hs	RNA	AK057672	AK058071	nedo
hs	RNA	AK058072	AK058072	nedo
hs	RNA	AK058073	AK058202	nedo
hs	RNA	AK074029	AK074065	nedo
hs	RNA	AK074066	AK074066	nedo
hs	RNA	AK074067	AK074069	nedo
hs	RNA	AK074070	AK074070	nedo
hs	RNA	AK074071	AK074079	nedo
hs	RNA	AK074080	AK074080	nedo
hs	RNA	AK074081	AK074098	nedo
hs	RNA	AK074099	AK074099	nedo
hs	RNA	AK074100	AK074129	nedo
hs	RNA	AK074130	AK074130	nedo
hs	RNA	AK074131	AK074481	nedo
hs	RNA	AK074482	AK074482	nedo
hs	RNA	AK074483	AK075325	nedo
hs	RNA	AK090395	AK090426	nedo
hs	RNA	AK090427	AK090427	nedo
hs	RNA	AK090428	AK092040	nedo
hs	RNA	AK092041	AK092041	nedo
hs	RNA	AK092042	AK093830	nedo
hs	RNA	AK093832	AK093880	nedo
hs	RNA	AK093882	AK093884	nedo
hs	RNA	AK093886	AK093886	nedo
hs	RNA	AK093888	AK093904	nedo
hs	RNA	AK093906	AK093913	nedo
hs	RNA	AK093915	AK093937	nedo
hs	RNA	AK093939	AK093941	nedo
hs	RNA	AK093943	AK093944	nedo
hs	RNA	AK093946	AK093960	nedo
hs	RNA	AK093962	AK095658	nedo
hs	RNA	AK095659	AK095659	nedo
hs	RNA	AK095660	AK095837	nedo
hs	RNA	AK095838	AK095838	nedo
hs	RNA	AK095839	AK096309	nedo
hs	RNA	AK096310	AK096310	nedo
hs	RNA	AK096311	AK096633	nedo
hs	RNA	AK096634	AK096634	nedo
hs	RNA	AK096635	AK096715	nedo
hs	RNA	AK096716	AK096716	nedo
hs	RNA	AK096717	AK096945	nedo
hs	RNA	AK096946	AK096946	nedo
hs	RNA	AK096947	AK097936	nedo
hs	RNA	AK097937	AK097937	nedo
hs	RNA	AK097938	AK098073	nedo
hs	RNA	AK098076	AK098081	nedo
hs	RNA	AK098083	AK098087	nedo
hs	RNA	AK098089	AK098089	nedo
hs	RNA	AK098091	AK098092	nedo
hs	RNA	AK098095	AK098095	nedo
hs	RNA	AK098098	AK098100	nedo
hs	RNA	AK098102	AK098103	nedo
hs	RNA	AK098105	AK098106	nedo
hs	RNA	AK098108	AK098111	nedo
hs	RNA	AK098113	AK098113	nedo
hs	RNA	AK098115	AK098118	nedo
hs	RNA	AK098120	AK098122	nedo
hs	RNA	AK098124	AK098126	nedo
hs	RNA	AK098128	AK098138	nedo
hs	RNA	AK098140	AK098140	nedo
hs	RNA	AK098142	AK098148	nedo
hs	RNA	AK098150	AK098153	nedo
hs	RNA	AK098156	AK098161	nedo
hs	RNA	AK098163	AK098165	nedo
hs	RNA	AK098167	AK098842	nedo
hs	RNA	AK122580	AK122590	nedo
hs	RNA	AK122591	AK122591	nedo
hs	RNA	AK122592	AK122742	nedo
hs	RNA	AK122743	AK122743	nedo
hs	RNA	AK122744	AK123002	nedo
hs	RNA	AK123004	AK123355	nedo
hs	RNA	AK123356	AK123356	nedo
hs	RNA	AK123357	AK123440	nedo
hs	RNA	AK123441	AK123441	nedo
hs	RNA	AK123442	AK125004	nedo
hs	RNA	AK125005	AK125005	nedo
hs	RNA	AK125006	AK126352	nedo
hs	RNA	AK126354	AK128153	nedo
hs	RNA	AK128154	AK128154	nedo
hs	RNA	AK128155	AK128555	nedo
hs	RNA	AK128557	AK128886	nedo
hs	RNA	AK129488	AK130951	nedo
hs	RNA	AK130957	AK131081	nedo
hs	RNA	AK131082	AK131082	nedo
hs	RNA	AK131083	AK131107	nedo
hs	RNA	AK131190	AK131475	nedo
hs	RNA	AK131476	AK131476	nedo
hs	RNA	AK131477	AK131575	nedo
hs	RNA	AK160364	AK160386	nedo
hs	RNA	AK172741	AK172866	nedo
hs	RNA	AK289351	AK301500	nedo
hs	RNA	AK301501	AK304890	nedo
hs	RNA	AK315807	AK316556	nedo
hs	EST	BG181162	BG213102	athRage
hs	EST	BG213103	BG222060	athRage
hs	EST	BG227959	BG228009	athRage
hs	EST	BG459627	BG462150	athRage
hs	EST	BG466129	BG466129	athRage
hs	EST	CU442764	CU457374	orestes
hs	EST	DC294839	DC424031	nedo
hs	EST	DC424847	DC426704	nedo
hs	EST	DC426705	DC426978	nedo
hs	EST	DC427599	DC429407	nedo
