organism	etype	startAcc	endAcc	reason
mm	RNA	AK000896	AK000896	nedo
mm	RNA	AK057615	AK057615	nedo
mm	RNA	AK057630	AK057630	nedo
mm	RNA	AK057640	AK057640	nedo
mm	RNA	AK057644	AK057644	nedo
mm	RNA	AK057650	AK057650	nedo
mm	RNA	AK057654	AK057654	nedo
mm	RNA	AK057671	AK057671	nedo
mm	RNA	AK093831	AK093831	nedo
mm	RNA	AK093881	AK093881	nedo
mm	RNA	AK093885	AK093885	nedo
mm	RNA	AK093887	AK093887	nedo
mm	RNA	AK093905	AK093905	nedo
mm	RNA	AK093914	AK093914	nedo
mm	RNA	AK093938	AK093938	nedo
mm	RNA	AK093942	AK093942	nedo
mm	RNA	AK093945	AK093945	nedo
mm	RNA	AK093961	AK093961	nedo
mm	RNA	AK098074	AK098075	nedo
mm	RNA	AK098082	AK098082	nedo
mm	RNA	AK098088	AK098088	nedo
mm	RNA	AK098090	AK098090	nedo
mm	RNA	AK098093	AK098094	nedo
mm	RNA	AK098096	AK098097	nedo
mm	RNA	AK098101	AK098101	nedo
mm	RNA	AK098104	AK098104	nedo
mm	RNA	AK098107	AK098107	nedo
mm	RNA	AK098112	AK098112	nedo
mm	RNA	AK098114	AK098114	nedo
mm	RNA	AK098119	AK098119	nedo
mm	RNA	AK098123	AK098123	nedo
mm	RNA	AK098127	AK098127	nedo
mm	RNA	AK098139	AK098139	nedo
mm	RNA	AK098141	AK098141	nedo
mm	RNA	AK098149	AK098149	nedo
mm	RNA	AK098154	AK098155	nedo
mm	RNA	AK098162	AK098162	nedo
mm	RNA	AK098166	AK098166	nedo
mm	RNA	AK128887	AK129030	nedo
